Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Waiting (TTFB) (ms),1921.26,1823.66,2360.94,192125.87,1823.67,1824.77,1825.28,1827.65,1858.64,1942.43,2188.51,2246.36,2353.06,143.53
Input Sequence Length (tokens),2048.00,2048.00,2048.00,204800.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,2048.00,0.00
Inter Chunk Latency (ms),28.75,25.44,83.14,355319.30,25.58,25.64,25.69,25.80,27.17,30.87,32.55,34.22,43.27,3.87
Inter Token Latency (ms),28.63,25.39,35.69,2862.75,25.65,25.78,25.82,25.85,27.19,30.83,32.19,34.77,35.46,2.98
OSL Mismatch Diff % (%),-2.38,-96.09,2.34,-238.28,-49.69,-2.42,-0.78,0.00,0.00,0.00,0.00,0.00,0.80,11.81
Output Sequence Length (tokens),124.95,5.00,131.00,12495.00,64.40,124.90,127.00,128.00,128.00,128.00,128.00,128.00,129.02,15.12
Output Token Count (tokens),124.95,5.00,131.00,12495.00,64.40,124.90,127.00,128.00,128.00,128.00,128.00,128.00,129.02,15.12
Output Token Throughput Per User (tokens/sec/user),35.29,28.02,39.38,3529.30,28.20,28.76,31.07,32.43,36.78,38.69,38.73,38.79,38.98,3.49
Prefill Throughput Per User (tokens/sec/user),964.82,783.30,1014.50,96482.08,789.66,822.47,843.82,942.50,989.06,1012.28,1013.37,1014.05,1014.39,64.73
Request Latency (ms),5686.50,2221.15,7068.21,568650.05,3660.72,5291.48,5299.35,5307.16,5498.92,6213.20,6454.16,6540.13,6627.15,662.09
Time to First Output Token (ms),2133.31,2018.73,2614.58,213330.75,2018.95,2019.63,2020.98,2023.15,2070.65,2172.96,2427.10,2490.07,2593.53,158.81
Time to First Token (ms),2133.31,2018.73,2614.58,213330.75,2018.95,2019.63,2020.98,2023.15,2070.65,2172.96,2427.10,2490.07,2593.53,158.81
Time to Second Token (ms),28.40,25.56,34.45,2839.60,25.58,25.61,25.66,25.73,27.58,31.06,32.21,32.91,33.79,2.78
Tokens In Flight (tokens),2087.03,0.00,2179.00,,,,,,2074.00,,2155.00,2165.00,2173.88,57.97

Metric,Value
Benchmark Duration (sec),569.01
Input Token Throughput (tokens/sec),359.92
OSL Mismatch Count,5.00
Output Token Throughput (tokens/sec),21.96
Request Count,100.00
Request Throughput (requests/sec),0.18
Total Input Sequence Length (tokens),204800.00
Total Output Sequence Length (tokens),12495.00
Total Output Tokens (tokens),12495.00
Total Token Throughput (tokens/sec),381.88


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
