Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Data Sent (KB),2.31,1.90,2.53,230.82,2.01,2.12,2.17,2.25,2.31,2.37,2.46,2.48,2.52,0.11
HTTP DNS Lookup (ms),0.01,0.00,1.12,1.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.11
HTTP Duration (excl. conn) (ms),3470.22,3439.30,3806.47,347021.87,3444.40,3448.61,3450.57,3454.37,3459.78,3468.79,3483.30,3495.03,3728.72,47.02
HTTP Receiving (ms),3031.90,3008.57,3283.18,303189.70,3009.75,3013.36,3015.89,3020.11,3025.15,3033.35,3048.66,3052.52,3158.88,31.14
HTTP Sending (ms),1.34,0.97,6.50,133.59,0.99,1.00,1.01,1.05,1.38,1.39,1.41,1.43,1.82,0.55
HTTP Total Time (ms),3471.48,3440.60,3813.91,347147.77,3445.33,3449.56,3451.85,3455.66,3460.73,3470.05,3484.50,3496.31,3730.34,47.51
HTTP Waiting (TTFB) (ms),436.99,429.35,772.32,43698.58,430.41,430.76,431.63,432.19,432.95,434.06,436.08,437.98,455.67,33.84
Input Sequence Length (tokens),512.00,512.00,512.00,51200.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Inter Chunk Latency (ms),23.37,22.54,46.15,294489.18,22.66,22.76,22.83,22.99,23.21,23.54,23.95,24.31,27.30,0.77
Inter Token Latency (ms),23.37,23.20,25.30,2337.40,23.20,23.23,23.25,23.28,23.32,23.39,23.50,23.54,24.36,0.24
OSL Mismatch Diff % (%),-0.79,-1.56,-0.78,-78.91,-0.79,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,0.08
Output Sequence Length (tokens),126.99,126.00,127.00,12699.00,126.99,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,0.10
Output Token Throughput Per User (tokens/sec/user),42.79,39.52,43.11,4278.68,41.05,42.49,42.56,42.75,42.89,42.95,43.01,43.05,43.10,0.42
Prefill Throughput Per User (tokens/sec/user),977.22,587.76,991.05,97721.67,943.30,971.37,975.33,980.45,982.78,984.48,985.81,986.54,987.52,39.74
Reasoning Token Count (tokens),126.99,126.00,127.00,12699.00,126.99,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,0.10
Request Latency (ms),3470.25,3439.32,3806.52,347024.69,3444.41,3448.65,3450.61,3454.41,3459.80,3468.83,3483.34,3495.03,3728.72,47.02
Time to First Token (ms),525.36,516.63,871.11,52535.51,518.47,518.98,519.37,520.07,520.97,522.21,524.95,527.09,544.02,34.95
Time to Second Token (ms),23.20,22.54,28.64,2319.96,22.57,22.63,22.67,22.79,23.05,23.36,23.75,24.22,25.45,0.73
Tokens In Flight (tokens),565.83,0.00,639.00,,,,,,564.00,,624.00,631.00,637.00,42.15

Metric,Value
Benchmark Duration (sec),347.16
Input Token Throughput (tokens/sec),147.48
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),36.58
Request Count,100.00
Request Throughput (requests/sec),0.29
Total Input Sequence Length (tokens),51200.00
Total Output Sequence Length (tokens),12699.00
Total Reasoning Tokens (tokens),12699.00
Total Token Throughput (tokens/sec),184.06


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
