Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP DNS Lookup (ms),0.06,0.00,1.66,6.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.59,0.30
HTTP Duration (excl. conn) (ms),10148.38,7008.79,10748.98,994541.55,7013.48,10147.46,10149.17,10151.65,10161.98,10175.80,10226.66,10724.73,10748.27,478.98
HTTP Receiving (ms),6985.58,6138.63,7059.19,684586.75,6139.62,6969.50,6975.79,6987.90,7001.40,7015.60,7030.45,7038.14,7057.98,123.89
HTTP Sending (ms),0.64,0.33,2.86,62.48,0.34,0.38,0.42,0.45,0.50,0.60,0.89,1.26,2.75,0.45
HTTP Total Time (ms),10148.94,7009.15,10750.56,994596.56,7013.85,10147.81,10149.55,10152.22,10162.30,10176.15,10227.13,10726.25,10749.36,479.17
HTTP Waiting (TTFB) (ms),3162.17,868.68,3692.73,309892.33,874.36,3137.49,3141.17,3149.72,3164.68,3178.97,3236.82,3691.71,3692.47,361.19
Input Sequence Length (tokens),512.00,512.00,512.00,50176.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Inter Chunk Latency (ms),53.60,44.51,146.13,661525.44,47.01,51.97,52.24,52.61,53.14,53.64,54.07,54.33,59.50,6.20
Inter Token Latency (ms),53.59,47.40,54.32,5251.49,47.41,53.46,53.51,53.58,53.70,53.78,53.92,54.03,54.27,0.91
OSL Mismatch Diff % (%),-0.81,-1.56,-0.78,-78.91,-1.56,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,0.13
Output Sequence Length (tokens),126.97,126.00,127.00,12443.00,126.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,0.17
Output Token Throughput Per User (tokens/sec/user),18.67,18.41,21.10,1829.40,18.43,18.51,18.55,18.59,18.62,18.66,18.69,18.71,21.09,0.36
Prefill Throughput Per User (tokens/sec/user),155.81,129.97,494.03,15269.01,129.99,130.05,147.50,149.78,150.57,151.28,151.63,151.89,492.14,49.01
Reasoning Token Count (tokens),126.97,126.00,127.00,12443.00,126.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,0.17
Request Latency (ms),10148.20,7008.79,10748.97,994523.15,7013.46,10147.46,10149.18,10151.54,10161.84,10175.77,10225.68,10724.58,10748.23,478.96
Time to First Token (ms),3397.94,1036.38,3939.44,332997.71,1040.35,3370.84,3376.62,3384.39,3400.50,3418.34,3471.10,3936.97,3938.77,371.37
Time to Second Token (ms),52.00,45.45,53.57,5095.80,45.58,51.74,51.79,51.89,52.02,52.20,52.40,53.46,53.49,1.02
Tokens In Flight (tokens),4258.23,0.00,5105.00,,,,,,4311.79,,4952.00,5032.00,5096.00,816.71

Metric,Value
Benchmark Duration (sec),129.59
Completed Requests (Success + Error),100.00
Context Overflow Count,0.00
Error Request Count,2.00
Input Token Throughput (tokens/sec),387.18
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),96.02
Request Count,98.00
Request Error Rate (%),2.00
Request Throughput (requests/sec),0.76
Total Error Input Sequence Length (tokens),1024.00
Total Input Sequence Length (tokens),50176.00
Total Output Sequence Length (tokens),12443.00
Total Reasoning Tokens (tokens),12443.00
Total Token Throughput (tokens/sec),483.20


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
