Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Data Sent (KB),2.34,1.99,2.59,233.82,2.09,2.13,2.23,2.28,2.34,2.39,2.47,2.50,2.54,0.10
HTTP DNS Lookup (ms),0.01,0.00,1.02,1.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.43,0.11
HTTP Duration (excl. conn) (ms),3976.05,2581.10,4545.39,397604.83,3424.34,3723.93,3909.53,3949.01,3982.81,4063.24,4115.08,4156.39,4395.48,206.66
HTTP Receiving (ms),3529.73,2141.01,4107.08,352973.04,2993.26,3270.26,3454.97,3509.12,3541.91,3619.20,3670.99,3708.71,3729.34,201.77
HTTP Sending (ms),0.46,0.40,1.67,45.99,0.40,0.41,0.41,0.42,0.43,0.45,0.47,0.53,0.92,0.14
HTTP Total Time (ms),3976.43,2581.48,4545.75,397642.80,3424.77,3724.29,3909.86,3949.35,3983.15,4063.63,4115.41,4156.72,4398.00,206.70
HTTP Waiting (TTFB) (ms),445.86,427.79,837.21,44585.81,430.43,436.92,437.79,438.99,440.53,442.25,447.14,454.64,494.80,39.95
Input Sequence Length (tokens),512.00,512.00,512.00,51200.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Inter Chunk Latency (ms),27.05,22.38,62.65,341787.04,22.66,23.98,25.30,26.24,27.08,27.90,28.64,29.11,31.96,1.91
Inter Token Latency (ms),27.03,22.84,31.47,2702.56,23.04,25.08,26.29,26.77,27.02,27.62,28.03,28.32,28.48,1.14
OSL Mismatch Diff % (%),-0.41,-41.41,1.56,-41.41,-1.96,-0.78,0.00,0.00,0.00,0.00,0.00,0.00,1.56,4.13
Output Sequence Length (tokens),127.47,75.00,130.00,12747.00,125.49,127.00,128.00,128.00,128.00,128.00,128.00,128.00,130.00,5.29
Output Token Count (tokens),127.47,75.00,130.00,12747.00,125.49,127.00,128.00,128.00,128.00,128.00,128.00,128.00,130.00,5.29
Output Token Throughput Per User (tokens/sec/user),37.07,31.78,43.79,3707.24,35.12,35.31,35.67,36.21,37.01,37.36,38.04,39.88,43.40,1.67
Prefill Throughput Per User (tokens/sec/user),920.77,534.49,963.18,92076.59,826.10,900.83,910.43,920.26,925.30,931.18,933.94,937.09,961.61,41.43
Request Latency (ms),3975.77,2550.16,4545.39,397576.67,3424.07,3723.97,3909.57,3949.03,3982.84,4063.28,4115.12,4156.41,4395.50,208.76
Time to First Output Token (ms),557.90,531.57,957.93,55789.63,532.44,546.37,548.22,549.84,553.34,556.36,562.37,568.36,620.98,41.22
Time to First Token (ms),557.90,531.57,957.93,55789.63,532.44,546.37,548.22,549.84,553.34,556.36,562.37,568.36,620.98,41.22
Time to Second Token (ms),27.03,22.54,30.50,2702.96,22.57,24.71,25.27,26.16,27.15,28.03,28.89,29.16,29.72,1.46
Tokens In Flight (tokens),566.84,0.00,642.00,,,,,,566.00,,625.00,632.00,638.00,42.02

Metric,Value
Benchmark Duration (sec),397.75
Input Token Throughput (tokens/sec),128.72
OSL Mismatch Count,1.00
Output Token Throughput (tokens/sec),32.05
Request Count,100.00
Request Throughput (requests/sec),0.25
Total Input Sequence Length (tokens),51200.00
Total Output Sequence Length (tokens),12747.00
Total Output Tokens (tokens),12747.00
Total Token Throughput (tokens/sec),160.77


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
