Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),39.92,24.55,41.71,399.23,26.08,32.20,39.85,41.58,41.61,41.67,41.70,41.70,41.70,5.12
HTTP Data Sent (KB),2.34,1.99,2.49,23.41,2.01,2.09,2.19,2.25,2.41,2.45,2.46,2.47,2.48,0.15
HTTP DNS Lookup (ms),0.10,0.00,1.03,1.03,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.57,0.94,0.31
HTTP Duration (excl. conn) (ms),3467.44,2350.17,4213.27,34674.37,2448.99,2844.27,3338.37,3466.45,3475.93,3553.98,3759.55,3986.41,4167.90,433.09
HTTP Receiving (ms),3029.51,1921.66,3766.25,30295.12,2018.27,2404.72,2887.78,3024.66,3044.99,3116.21,3326.51,3546.38,3722.27,429.64
HTTP Sending (ms),0.58,0.41,1.67,5.77,0.41,0.42,0.43,0.43,0.45,0.48,0.67,1.17,1.57,0.37
HTTP Total Time (ms),3468.02,2350.54,4213.67,34680.20,2449.36,2844.63,3338.72,3466.81,3476.27,3554.93,3759.90,3986.78,4168.29,433.11
HTTP Waiting (TTFB) (ms),437.35,426.28,493.13,4373.47,426.32,426.48,426.69,427.65,429.33,434.39,451.20,472.16,488.94,19.46
Input Sequence Length (tokens),512.00,512.00,512.00,5120.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Inter Chunk Latency (ms),24.00,22.46,36.09,29212.07,22.54,22.63,22.72,22.96,23.13,24.06,27.52,28.84,30.54,2.02
Inter Token Latency (ms),24.03,22.77,28.72,240.29,22.78,22.86,22.96,23.12,23.26,24.11,25.35,27.04,28.38,1.69
OSL Mismatch Diff % (%),-4.22,-41.41,0.00,-42.19,-37.75,-23.12,-4.84,0.00,0.00,0.00,0.00,0.00,0.00,12.40
Output Sequence Length (tokens),122.60,75.00,128.00,1226.00,79.68,98.40,121.80,128.00,128.00,128.00,128.00,128.00,128.00,15.87
Output Token Count (tokens),122.60,75.00,128.00,1226.00,79.68,98.40,121.80,128.00,128.00,128.00,128.00,128.00,128.00,15.87
Output Token Throughput Per User (tokens/sec/user),41.80,34.82,43.93,417.97,35.29,37.17,39.51,41.49,43.00,43.24,43.56,43.74,43.89,2.58
Prefill Throughput Per User (tokens/sec/user),943.46,855.05,966.85,9434.59,859.54,877.50,899.95,946.56,958.48,964.68,966.07,966.46,966.77,34.24
Request Latency (ms),3464.66,2322.08,4213.26,34646.56,2423.43,2828.83,3335.59,3466.49,3475.97,3554.02,3759.58,3986.42,4167.90,440.36
Time to First Output Token (ms),543.45,529.55,598.79,5434.49,529.60,529.77,529.98,530.75,534.18,540.92,569.09,583.94,595.82,21.08
Time to First Token (ms),543.45,529.55,598.79,5434.49,529.60,529.77,529.98,530.75,534.18,540.92,569.09,583.94,595.82,21.08
Time to Second Token (ms),23.37,22.63,27.20,233.69,22.64,22.66,22.69,22.83,22.96,23.12,23.70,25.45,26.85,1.29
Tokens In Flight (tokens),564.44,0.00,640.00,,,,,,562.00,,624.00,632.00,638.00,41.99

Metric,Value
Benchmark Duration (sec),34.69
Input Token Throughput (tokens/sec),147.60
OSL Mismatch Count,1.00
Output Token Throughput (tokens/sec),35.34
Request Count,10.00
Request Throughput (requests/sec),0.29
Total Input Sequence Length (tokens),5120.00
Total Output Sequence Length (tokens),1226.00
Total Output Tokens (tokens),1226.00
Total Token Throughput (tokens/sec),182.94


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
