Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Inter Token Latency (ms),57.55,49.58,67.74,5755.47,50.93,54.13,54.41,54.92,57.92,59.65,61.95,62.31,63.13,3.19
OSL Mismatch Diff % (%),-0.16,-14.06,1.56,-16.41,-0.91,-0.78,0.00,0.00,0.00,0.00,0.00,0.00,0.79,1.42
Output Sequence Length (tokens),127.79,110.00,130.00,12779.00,126.83,127.00,128.00,128.00,128.00,128.00,128.00,128.00,129.01,1.82
Output Token Count (tokens),127.79,110.00,130.00,12779.00,126.83,127.00,128.00,128.00,128.00,128.00,128.00,128.00,129.01,1.82
Output Token Throughput Per User (tokens/sec/user),17.43,14.76,20.17,1742.75,15.84,16.05,16.14,16.76,17.26,18.21,18.38,18.47,19.63,0.95
Prefill Throughput Per User (tokens/sec/user),334.78,197.74,556.27,33477.98,210.11,244.12,249.25,257.37,322.59,384.53,485.03,529.53,541.07,92.87
Request Latency (ms),8935.64,7279.22,9709.64,893564.25,8148.92,8709.28,8808.09,8879.02,8915.25,8993.26,9166.61,9436.33,9643.02,276.55
Time to First Output Token (ms),1636.93,920.41,2589.26,163692.86,946.28,966.89,1055.60,1331.49,1587.19,1989.33,2054.17,2097.34,2436.86,398.89
Time to First Token (ms),1636.93,920.41,2589.26,163692.86,946.28,966.89,1055.60,1331.49,1587.19,1989.33,2054.17,2097.34,2436.86,398.89
Time to Second Token (ms),70.23,47.69,164.11,7022.52,48.18,48.56,48.89,49.35,75.98,84.03,84.72,86.35,163.53,20.96
Tokens In Flight (tokens),2251.47,0.00,2539.00,,,,,,2255.00,,2444.28,2480.16,2509.00,158.01

Metric,Value
Benchmark Duration (sec),223.84
Input Token Throughput (tokens/sec),228.73
OSL Mismatch Count,1.00
Output Token Throughput (tokens/sec),57.09
Request Count,100.00
Request Throughput (requests/sec),0.45
Total Input Sequence Length (tokens),51200.00
Total Output Sequence Length (tokens),12779.00
Total Output Tokens (tokens),12779.00
Total Token Throughput (tokens/sec),285.81


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
