Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
OSL Mismatch Diff % (%),-0.04,-0.78,0.00,-0.78,-0.63,-0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17
Output Sequence Length (tokens),127.95,127.00,128.00,2559.00,127.19,127.95,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.22
Output Token Count (tokens),127.95,127.00,128.00,2559.00,127.19,127.95,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.22
Output Token Throughput Per User (tokens/sec/user),20.90,19.33,21.92,417.93,19.59,20.67,20.74,20.78,20.87,20.96,21.38,21.47,21.83,0.46
Prefill Throughput Per User (tokens/sec/user),674.59,664.16,679.69,13491.78,665.30,669.87,671.32,674.57,675.49,675.62,676.81,677.43,679.24,3.08
Request Latency (ms),18222.14,17921.67,18772.23,364442.74,17944.26,18034.63,18044.64,18157.64,18220.60,18240.48,18351.02,18433.66,18704.52,165.32
Time to First Output Token (ms),12143.95,12052.58,12334.42,242878.94,12060.62,12092.76,12103.76,12125.24,12127.51,12144.09,12202.87,12229.36,12313.41,55.92
Time to First Token (ms),12143.95,12052.58,12334.42,242878.94,12060.62,12092.76,12103.76,12125.24,12127.51,12144.09,12202.87,12229.36,12313.41,55.92
Time to Second Token (ms),47.25,40.93,49.84,944.90,41.88,45.67,46.24,46.95,47.62,48.04,48.34,48.45,49.56,1.68
Tokens In Flight (tokens),8211.01,0.00,8320.00,,,,,,8192.00,,8282.00,8301.00,8316.00,145.08

Metric,Value
Benchmark Duration (sec),364.54
Input Token Throughput (tokens/sec),449.43
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),7.02
Request Count,20.00
Request Throughput (requests/sec),0.05
Total Input Sequence Length (tokens),163840.00
Total Output Sequence Length (tokens),2559.00
Total Output Tokens (tokens),2559.00
Total Token Throughput (tokens/sec),456.45


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
