Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Time to First Output Token (ms),963.56,577.16,1707.50,96356.16,681.73,700.55,726.70,797.52,990.06,1023.21,1189.01,1250.45,1706.78,192.01
Time to First Token (ms),963.56,577.16,1707.50,96356.16,681.73,700.55,726.70,797.52,990.06,1023.21,1189.01,1250.45,1706.78,192.01
Time to Second Token (ms),43.24,25.47,46.27,4324.26,26.02,26.76,28.54,45.08,45.31,45.58,45.81,45.94,46.14,5.85
Tokens In Flight (tokens),1126.04,0.00,1279.00,,,,,,1133.00,,1230.00,1249.00,1270.00,94.51

Metric,Value
Benchmark Duration (sec),347.32
Input Token Throughput (tokens/sec),147.41
OSL Mismatch Count,1.00
Output Token Throughput (tokens/sec),36.64
Request Count,100.00
Request Throughput (requests/sec),0.29
Total Input Sequence Length (tokens),51200.00
Total Output Sequence Length (tokens),12725.00
Total Output Tokens (tokens),12725.00
Total Token Throughput (tokens/sec),184.05


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
