Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP DNS Lookup (ms),0.05,0.00,1.37,5.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.27,0.25
HTTP Duration (excl. conn) (ms),7924.85,7849.85,8931.92,792485.18,7849.96,7855.29,7855.85,7858.13,7863.68,7870.40,8057.54,8075.64,8931.43,212.86
HTTP Receiving (ms),6321.94,6254.19,7337.90,632194.01,6254.49,6257.41,6260.32,6265.53,6270.83,6277.04,6291.69,6488.02,7337.18,210.36
HTTP Sending (ms),0.54,0.33,2.39,53.60,0.35,0.36,0.38,0.42,0.45,0.48,0.69,0.79,2.31,0.36
HTTP Total Time (ms),7925.33,7850.14,8932.51,792532.76,7850.29,7855.62,7856.21,7858.42,7864.03,7870.76,8060.99,8076.02,8931.97,212.98
HTTP Waiting (TTFB) (ms),1602.38,1581.70,1789.12,160237.57,1582.28,1584.23,1585.85,1588.05,1593.51,1599.13,1606.95,1635.15,1789.09,39.32
Input Sequence Length (tokens),512.00,512.00,512.00,51200.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Inter Chunk Latency (ms),48.65,47.04,429.88,612825.97,47.19,47.35,47.44,47.66,47.96,48.28,48.77,50.62,73.12,7.70
Inter Token Latency (ms),48.65,48.09,56.60,4864.86,48.11,48.13,48.15,48.19,48.24,48.31,48.48,49.96,56.59,1.65
OSL Mismatch Diff % (%),-0.80,-2.34,-0.78,-80.47,-1.57,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,-0.78,0.17
Output Sequence Length (tokens),126.97,125.00,127.00,12697.00,125.99,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,0.22
Output Token Throughput Per User (tokens/sec/user),20.58,17.67,20.79,2057.62,17.67,20.02,20.63,20.70,20.73,20.75,20.77,20.78,20.79,0.61
Prefill Throughput Per User (tokens/sec/user),285.11,258.72,288.33,28510.61,258.77,280.45,283.80,285.57,286.46,287.36,287.57,287.90,288.32,5.59
Reasoning Token Count (tokens),126.97,125.00,127.00,12697.00,125.99,127.00,127.00,127.00,127.00,127.00,127.00,127.00,127.00,0.22
Request Latency (ms),7924.84,7849.86,8931.91,792483.61,7849.97,7855.30,7855.83,7858.09,7863.62,7870.24,8057.55,8075.64,8931.55,212.87
Time to First Token (ms),1796.58,1775.76,1978.97,179657.64,1775.81,1778.42,1780.44,1781.74,1787.34,1792.93,1804.09,1825.65,1978.63,38.41
Time to Second Token (ms),47.61,47.13,49.24,4760.58,47.13,47.18,47.19,47.24,47.48,47.76,48.27,48.83,48.91,0.47
Tokens In Flight (tokens),1869.22,0.00,2553.00,,,,,,2164.00,,2476.00,2516.00,2548.00,851.88

Metric,Value
Benchmark Duration (sec),198.17
Input Token Throughput (tokens/sec),215.13
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),53.35
Request Count,100.00
Request Throughput (requests/sec),0.42
Total Input Sequence Length (tokens),51200.00
Total Output Sequence Length (tokens),12697.00
Total Reasoning Tokens (tokens),12697.00
Total Token Throughput (tokens/sec),268.48


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
