Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Request Latency (ms),3657.77,2426.33,4340.61,365776.54,3400.59,3411.58,3411.97,3414.16,3519.40,3960.15,3977.74,4012.13,4116.44,287.36
Time to First Output Token (ms),541.91,524.98,635.85,54190.88,527.40,530.99,531.45,532.29,540.27,549.80,552.33,561.53,569.35,13.75
Time to First Token (ms),541.91,524.98,635.85,54190.88,527.40,530.99,531.45,532.29,540.27,549.80,552.33,561.53,569.35,13.75
Time to Second Token (ms),24.40,22.43,32.30,2440.19,22.43,22.48,22.49,22.55,23.47,26.09,27.22,27.61,28.76,2.09
Tokens In Flight (tokens),566.34,0.00,642.00,,,,,,565.00,,625.00,632.00,638.00,42.32

Metric,Value
Benchmark Duration (sec),365.95
Input Token Throughput (tokens/sec),139.91
OSL Mismatch Count,1.00
Output Token Throughput (tokens/sec),34.83
Request Count,100.00
Request Throughput (requests/sec),0.27
Total Input Sequence Length (tokens),51200.00
Total Output Sequence Length (tokens),12747.00
Total Output Tokens (tokens),12747.00
Total Token Throughput (tokens/sec),174.74


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
