Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Connecting (ms),0.92,0.35,10.27,90.58,0.35,0.36,0.38,0.41,0.55,0.88,1.22,2.28,8.01,1.35
HTTP Connection Overhead (ms),0.98,0.35,10.27,95.70,0.35,0.36,0.38,0.41,0.55,0.88,1.22,3.81,8.01,1.44
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),41.55,35.82,41.77,4072.38,40.15,41.54,41.57,41.61,41.64,41.66,41.68,41.70,41.75,0.60
HTTP Data Sent (KB),2.34,1.99,2.59,228.97,2.09,2.13,2.23,2.28,2.34,2.39,2.47,2.50,2.54,0.10
HTTP DNS Lookup (ms),0.05,0.00,1.85,5.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.79,0.30
HTTP Duration (excl. conn) (ms),12506.75,8699.26,17261.23,1225661.10,8828.75,11654.76,11963.59,12291.13,12455.35,12683.32,12906.90,13670.15,16516.66,1043.80
HTTP Receiving (ms),11189.25,7022.08,11949.41,1096546.16,7573.51,9957.35,10725.13,11104.60,11330.10,11623.09,11718.31,11774.67,11921.25,782.77
HTTP Sending (ms),1.23,0.44,12.55,120.60,0.45,0.47,0.49,0.53,0.79,1.26,1.84,2.47,9.93,1.66
HTTP Total Time (ms),12507.72,8699.66,17261.69,1225756.80,8829.16,11656.14,11964.06,12291.69,12455.89,12683.71,12907.51,13673.44,16517.09,1043.98
HTTP Waiting (TTFB) (ms),1316.27,573.90,6021.10,128994.34,583.73,646.59,669.26,809.48,1189.78,1334.94,1824.43,3068.20,5411.24,916.25
Input Sequence Length (tokens),512.00,512.00,512.00,50176.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Inter Chunk Latency (ms),84.05,27.23,689.47,1044079.16,50.55,53.46,53.93,54.80,55.61,56.66,107.92,173.48,534.49,95.47
Inter Token Latency (ms),83.97,52.41,91.46,8228.88,54.34,73.55,80.23,82.34,85.09,86.50,89.08,89.52,91.10,5.91
OSL Mismatch Diff % (%),-0.12,-14.06,1.56,-11.72,-1.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,1.43
Output Sequence Length (tokens),127.85,110.00,130.00,12529.00,126.49,128.00,128.00,128.00,128.00,128.00,128.00,128.00,129.03,1.83
Output Token Count (tokens),127.85,110.00,130.00,12529.00,126.49,128.00,128.00,128.00,128.00,128.00,128.00,128.00,129.03,1.83
Output Token Throughput Per User (tokens/sec/user),11.99,10.93,19.08,1174.88,10.98,11.17,11.23,11.56,11.75,12.14,12.46,13.60,18.40,1.15
Prefill Throughput Per User (tokens/sec/user),320.26,81.17,589.44,31385.80,84.81,140.26,228.80,251.52,307.95,347.84,484.35,513.56,562.59,106.48
Request Latency (ms),12505.78,8699.25,17261.28,1225566.32,8828.72,11592.77,11963.65,12291.17,12455.41,12683.34,12906.97,13670.17,16516.67,1044.17
Time to First Output Token (ms),1851.91,868.62,6307.92,181487.16,910.13,996.97,1057.18,1471.95,1662.65,2035.63,2237.81,3661.39,6037.25,941.35
Time to First Token (ms),1851.91,868.62,6307.92,181487.16,910.13,996.97,1057.18,1471.95,1662.65,2035.63,2237.81,3661.39,6037.25,941.35
Time to Second Token (ms),95.29,52.55,181.60,9338.68,52.94,53.40,53.51,55.72,89.82,106.55,173.73,174.80,179.01,42.33
Tokens In Flight (tokens),4393.67,0.00,4993.00,,,,,,4504.17,,4844.75,4883.00,4951.00,682.01

Metric,Value
Benchmark Duration (sec),158.14
Completed Requests (Success + Error),100.00
Context Overflow Count,0.00
Error Request Count,2.00
Input Token Throughput (tokens/sec),317.28
OSL Mismatch Count,1.00
Output Token Throughput (tokens/sec),79.22
Request Count,98.00
Request Error Rate (%),2.00
Request Throughput (requests/sec),0.62
Total Error Input Sequence Length (tokens),1024.00
Total Input Sequence Length (tokens),50176.00
Total Output Sequence Length (tokens),12529.00
Total Output Tokens (tokens),12529.00
Total Token Throughput (tokens/sec),396.50


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
