Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP DNS Lookup (ms),0.05,0.00,3.68,4.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.25,0.38
HTTP Duration (excl. conn) (ms),3202.61,885.02,4052.15,320261.01,896.29,2353.62,3063.10,3065.25,3086.23,3604.14,3768.00,3798.30,3827.89,513.01
HTTP Receiving (ms),3009.51,684.21,3852.85,300950.93,707.12,2165.52,2876.27,2878.33,2898.57,3407.33,3568.13,3598.69,3629.39,510.76
HTTP Sending (ms),0.51,0.39,4.20,50.73,0.39,0.39,0.40,0.43,0.44,0.46,0.51,0.55,1.94,0.41
HTTP Total Time (ms),3203.07,885.39,4052.54,320306.97,896.63,2353.97,3063.45,3065.58,3086.54,3604.51,3768.35,3798.69,3828.29,513.09
HTTP Waiting (TTFB) (ms),192.59,184.89,277.13,19259.35,185.40,185.64,185.95,186.45,187.87,197.52,201.22,202.70,213.62,10.65
Input Sequence Length (tokens),128.00,128.00,128.00,12800.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Inter Chunk Latency (ms),23.80,21.58,51.42,290994.40,21.65,21.71,21.75,21.85,22.07,26.11,27.42,28.07,30.95,2.60
Inter Token Latency (ms),23.84,21.74,29.48,2383.98,21.75,21.90,21.91,21.93,22.19,26.21,27.30,27.54,27.74,2.34
OSL Mismatch Diff % (%),-3.79,-83.59,1.56,-378.91,-78.18,-30.78,-1.56,0.00,0.00,0.00,0.00,0.00,0.79,14.05
Output Sequence Length (tokens),123.15,21.00,130.00,12315.00,27.93,88.60,126.00,128.00,128.00,128.00,128.00,128.00,129.01,17.99
Output Token Count (tokens),123.15,21.00,130.00,12315.00,27.93,88.60,126.00,128.00,128.00,128.00,128.00,128.00,129.01,17.99
Output Token Throughput Per User (tokens/sec/user),42.33,33.92,45.99,4233.13,36.05,36.31,36.63,38.15,45.07,45.60,45.63,45.66,45.97,3.92
Prefill Throughput Per User (tokens/sec/user),441.70,330.49,460.72,44170.32,406.11,415.45,419.14,425.17,453.59,456.00,457.20,457.87,458.46,19.60
Request Latency (ms),3200.37,853.70,4052.15,320037.02,869.71,2326.96,3063.11,3065.28,3086.25,3604.15,3768.01,3798.31,3827.94,518.53
Time to First Output Token (ms),290.43,277.82,387.31,29042.61,279.19,279.56,279.97,280.70,282.19,301.06,305.39,308.10,315.32,14.52
Time to First Token (ms),290.43,277.82,387.31,29042.61,279.19,279.56,279.97,280.70,282.19,301.06,305.39,308.10,315.32,14.52
Time to Second Token (ms),23.54,21.64,28.14,2354.41,21.64,21.67,21.70,21.78,21.97,25.89,26.87,27.51,27.78,2.21
Tokens In Flight (tokens),185.34,0.00,258.00,,,,,,184.00,,241.00,248.00,254.00,39.52

Metric,Value
Benchmark Duration (sec),320.40
Input Token Throughput (tokens/sec),39.95
OSL Mismatch Count,8.00
Output Token Throughput (tokens/sec),38.44
Request Count,100.00
Request Throughput (requests/sec),0.31
Total Input Sequence Length (tokens),12800.00
Total Output Sequence Length (tokens),12315.00
Total Output Tokens (tokens),12315.00
Total Token Throughput (tokens/sec),78.39


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
