Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Effective Latency (CO-aware) (ms),10896.27,3.87,12022.23,1089626.87,4.21,10594.18,10901.72,11026.54,11146.53,11388.98,11458.07,11983.64,12015.26,1741.36
Effective Prefill Concurrency,2.21,0.00,8.00,,,,,,0.00,,7.00,7.00,8.00,3.19
Effective Prefill Throughput (tokens/sec),356.63,0.00,1110.45,,,,,,0.00,,1085.74,1100.55,1110.45,467.54
Effective Prefill Throughput Per User (tokens/sec/user),91.25,0.00,690.34,,,,,,0.00,,158.64,499.69,554.46,147.12
Effective Total Throughput (tokens/sec),444.58,0.00,1123.17,,,,,,128.24,,1098.38,1112.98,1123.17,419.60
Error Input Sequence Length (tokens),512.00,512.00,512.00,1024.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,131.67,59.00,133.00,12904.00,125.93,131.00,132.00,132.00,133.00,133.00,133.00,133.00,133.00,7.42
HTTP Chunks Sent,1.00,1.00,1.00,98.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.71,0.29,3.62,69.80,0.34,0.36,0.38,0.41,0.54,0.69,1.09,2.27,3.25,0.60
HTTP Connection Overhead (ms),0.76,0.29,4.24,74.33,0.34,0.36,0.38,0.41,0.54,0.69,1.09,2.40,3.91,0.77
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),41.35,17.78,41.76,4052.52,39.25,41.52,41.57,41.60,41.63,41.66,41.68,41.70,41.75,2.40
HTTP Data Sent (KB),2.34,1.99,2.59,229.20,2.09,2.13,2.24,2.29,2.34,2.39,2.47,2.50,2.54,0.10
HTTP DNS Lookup (ms),0.05,0.00,1.60,4.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.52,0.26
HTTP Duration (excl. conn) (ms),11117.28,5541.80,12021.51,1089493.85,7163.15,10899.99,10901.01,11027.73,11146.57,11387.69,11457.13,11982.47,12014.70,789.71
HTTP Receiving (ms),8361.99,3362.45,10608.00,819475.33,4966.51,8086.56,8118.45,8164.82,8210.02,8280.27,10110.44,10383.04,10556.42,919.67
HTTP Sending (ms),0.97,0.40,4.36,94.78,0.43,0.47,0.49,0.53,0.81,1.03,1.46,2.68,3.77,0.71
HTTP Total Time (ms),11118.04,5542.58,12021.80,1089568.17,7164.06,10900.52,10901.63,11028.35,11146.97,11388.24,11457.85,11983.90,12015.13,789.83
HTTP Waiting (TTFB) (ms),2754.32,524.43,3850.34,269923.74,591.97,647.66,914.04,2802.84,2880.77,3139.75,3281.61,3849.42,3850.32,836.92
Input Sequence Length (tokens),512.00,512.00,512.00,50176.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,512.00,0.00
Inter Chunk Latency (ms),63.02,23.84,3084.86,778991.41,31.90,53.74,54.05,54.72,55.54,56.23,56.95,70.24,150.50,91.70
Inter Token Latency (ms),62.91,37.80,80.49,6165.18,55.42,60.29,60.55,60.85,61.35,61.84,76.88,79.06,80.45,6.20
OSL Mismatch Diff % (%),-0.57,-57.81,1.56,-56.25,-2.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,5.82
Output Sequence Length (tokens),127.27,54.00,130.00,12472.00,124.81,128.00,128.00,128.00,128.00,128.00,128.00,128.00,129.03,7.45
Output Token Count (tokens),127.27,54.00,130.00,12472.00,124.81,128.00,128.00,128.00,128.00,128.00,128.00,128.00,129.03,7.45
Output Token Throughput Per User (tokens/sec/user),16.04,12.42,26.46,1572.35,12.43,12.65,13.01,16.17,16.30,16.43,16.51,16.59,18.13,1.58
Prefill Throughput Per User (tokens/sec/user),193.80,122.57,690.34,18992.65,122.58,122.64,137.21,143.41,154.36,157.99,415.36,525.03,558.53,122.54
Request Latency (ms),11116.42,5541.96,12021.51,1089409.15,7093.28,10900.00,10900.92,11027.25,11146.46,11387.61,11457.04,11982.48,12014.65,793.36
Time to First Output Token (ms),3167.53,741.66,4177.08,310417.74,917.98,975.20,1232.80,3240.66,3316.97,3570.29,3731.38,4174.96,4176.75,864.87
Time to First Token (ms),3167.53,741.66,4177.08,310417.74,917.98,975.20,1232.80,3240.66,3316.97,3570.29,3731.38,4174.96,4176.75,864.87
Time to Second Token (ms),55.12,46.97,58.34,5401.84,53.61,53.87,53.98,54.38,55.42,55.78,56.13,56.22,57.45,1.20
Tokens In Flight (tokens),4320.10,0.00,5072.00,,,,,,4405.76,,4903.00,4986.00,5050.56,749.68

Metric,Value
Benchmark Duration (sec),140.69
Completed Requests (Success + Error),100.00
Context Overflow Count,0.00
Error Request Count,2.00
Input Token Throughput (tokens/sec),356.63
OSL Mismatch Count,1.00
Output Token Throughput (tokens/sec),88.64
Request Count,98.00
Request Error Rate (%),2.00
Request Throughput (requests/sec),0.70
Total Error Input Sequence Length (tokens),1024.00
Total Input Sequence Length (tokens),50176.00
Total Output Sequence Length (tokens),12472.00
Total Output Tokens (tokens),12472.00
Total Token Throughput (tokens/sec),445.27


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
