Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Output Token Throughput Per User (tokens/sec/user),41.88,37.91,43.73,209.40,38.06,38.68,39.44,41.74,42.37,43.66,43.70,43.71,43.72,2.13
Prefill Throughput Per User (tokens/sec/user),864.74,545.21,963.36,4323.70,560.31,620.73,696.26,922.84,931.83,960.47,962.20,962.78,963.24,160.54
Request Latency (ms),3657.03,3437.50,3936.71,18285.16,3437.61,3438.06,3438.63,3440.32,3592.33,3878.30,3913.35,3925.03,3934.38,212.85
Time to First Output Token (ms),621.58,531.47,939.10,3107.91,531.54,531.79,532.11,533.07,549.45,554.81,785.38,862.24,923.72,159.02
Time to First Token (ms),621.58,531.47,939.10,3107.91,531.54,531.79,532.11,533.07,549.45,554.81,785.38,862.24,923.72,159.02
Time to Second Token (ms),23.52,22.65,25.58,117.61,22.65,22.65,22.65,22.65,23.09,23.63,24.80,25.19,25.51,1.09
Tokens In Flight (tokens),564.70,0.00,640.00,,,,,,563.00,,624.00,632.00,638.00,42.72

Metric,Value
Benchmark Duration (sec),18.29
Input Token Throughput (tokens/sec),139.94
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),34.93
Request Count,5.00
Request Throughput (requests/sec),0.27
Total Input Sequence Length (tokens),2560.00
Total Output Sequence Length (tokens),639.00
Total Output Tokens (tokens),639.00
Total Token Throughput (tokens/sec),174.87


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
